r40,Test Name,state,Reason,Problem,Medition,culture
0,"Cholesterol, Total",1,"Hypolipidemia, obesity, insulin, and smoking can cause low levels of high density lipoprotein(HDL), may result from thyroid problems of other health issues",The medical term for high blood cholestrlol is liquid disorder,"Bezafidrate,chlorine",Follow Healthy Diet
1,"Cholesterol, Total",2,your health is normal,The Values are normal,No Need to use any Medicine,No need to be change any food habits
2,"Cholesterol, Total",3,With high is develop is fatty deposits in blood vessels. Somertimes those deposits can break suddenly and form a clot that causes a heart attack.,The medical term for high blood cholestrlol is liquid disorder,Primrose,Do physical activity
3,Triglycerides,1,"Low triglycerdes due to malnutrition like lethargy, feeling cold, dry skin, britte or sparse hair, muscle wasting, diarrhea, weight loss and low fat diet.","Whuich increases the risk of stroke,heart attack and heart disease","Statins,PCSK9 inhibitors",Follow Healthy Diet
4,Triglycerides,2,your health is normal,The Values are normal,No Need to use any Medicine,No need to be change any food habits
5,Triglycerides,3,"Having excess weight or obesity and alcohol consumption, physical inactivity and diabetes, metabolic syndrome",Extremely high triglycerides can also cause acute,"Ezetimibe,Bile Acid",Don't Smoke
6,HDL Cholesterol,1,It eventually builduop with in the walls of blood vessels,High cholestrol has no symptoms,"niacin,lopid",Follow Healthy Diet
7,HDL Cholesterol,2,your health is normal,The Values are normal,No Need to use any Medicine,No need to be change any food habits
8,HDL Cholesterol,3,Excess choelostral in yiour blood.,High cholestrol has no symptoms,lopid,Take Healthy Food
9,"LDL Cholesterol, Calculated",1,Carry choelestrol throughout the body,Your vlood cholestrol levels contribute to your risk od feart disease,Evolocumab,Do physical activity
10,"LDL Cholesterol, Calculated",2,your health is normal,The Values are normal,No Need to use any Medicine,No need to be change any food habits
11,"LDL Cholesterol, Calculated",3,Coronary artrey diease.,"Your blood cholestrole is a type levels,and stroke",Fluvastin ,Avoid Smoking
12,"VLDL Cholesterol, Calculated",1,The body needs some VLDL to work properly.,VLDL cholestrole is a tyoe of bloot fat,Fluvastin ,Take Healthy Food
13,"VLDL Cholesterol, Calculated",2,your health is normal,The Values are normal,No Need to use any Medicine,No need to be change any food habits
14,"VLDL Cholesterol, Calculated",3,Development of plaque,Sixty percent of a VLDL particle is a trigelyceride,Fluvastin ,Do physical activity
15,Hemoglobin,1,Iron deficiency,if a disease or condition affects level is your bodys ability to produces  red blood cells,Algucerase injection,Follow Healthy Diet
16,Hemoglobin,2,your health is normal,The Values are normal,No Need to use any Medicine,No need to be change any food habits
17,Hemoglobin,3,Lung diease,"when your hemoglobin level is low,it means your body isnot getting enough oxygen",Cyanocobalamin vit B12,Do meditation
18,Packed Cell Volume (PCV),1,used for plastic grocery,"A Decreased PCV indicates anaemia , or haemodilution",Gliberts Syndrome,Stay hydrated
19,Packed Cell Volume (PCV),2,your health is normal,The Values are normal,No Need to use any Medicine,No need to be change any food habits
